Gear,mycellid,Lat,Lon,avg_eff_gear_yr,eff_smth
Lines_Longlines,-0.75_47.75,-0.75,47.75,235.17926994957,235.17926994957
Lines_Longlines,-0.75_48.25,-0.75,48.25,289.199686565482,289.199686565482
Lines_Longlines,-0.75_48.75,-0.75,48.75,395.556130731025,395.556130731025
Lines_Longlines,-0.75_49.25,-0.75,49.25,268.460785814138,268.460785814138
Lines_Longlines,-0.75_49.75,-0.75,49.75,177.908677115758,177.908677115758
Lines_Longlines,-0.75_50.25,-0.75,50.25,172.834521032715,172.834521032715
Lines_Longlines,-0.75_50.75,-0.75,50.75,211.744077736299,211.744077736299
Lines_Longlines,-0.75_51.25,-0.75,51.25,189.298136011287,189.298136011287
Lines_Longlines,-0.75_51.75,-0.75,51.75,165.036865741827,165.036865741827
Lines_Longlines,-0.75_52.25,-0.75,52.25,228.236004574878,228.236004574878
Lines_Longlines,-0.75_52.75,-0.75,52.75,359.738427260664,359.738427260664
Lines_Longlines,-0.75_53.25,-0.75,53.25,309.512194585917,309.512194585917
Lines_Longlines,-0.75_53.75,-0.75,53.75,389.659828962023,389.659828962023
Lines_Longlines,-0.75_54.25,-0.75,54.25,332.203076058066,332.203076058066
Lines_Longlines,-0.75_54.75,-0.75,54.75,178.156077793691,178.156077793691
Lines_Longlines,-0.75_55.25,-0.75,55.25,228.765174576479,228.765174576479
Lines_Longlines,-0.75_55.75,-0.75,55.75,371.767160132234,371.767160132234
Lines_Longlines,-0.75_56.25,-0.75,56.25,526.233981561978,526.233981561978
Lines_Longlines,-0.75_56.75,-0.75,56.75,503.836550541612,503.836550541612
Lines_Longlines,-0.75_57.25,-0.75,57.25,298.957768634902,298.957768634902
Lines_Longlines,-0.75_57.75,-0.75,57.75,197.299386294948,197.299386294948
Lines_Longlines,-0.75_58.25,-0.75,58.25,225.837258731147,225.837258731147
Lines_Longlines,-0.75_58.75,-0.75,58.75,299.56628938357,299.56628938357
Lines_Longlines,-0.75_59.25,-0.75,59.25,431.535062994467,431.535062994467
Lines_Longlines,-0.75_59.75,-0.75,59.75,324.858833052774,324.858833052774
Lines_Longlines,-0.75_60.25,-0.75,60.25,224.444534081866,224.444534081866
Lines_Longlines,-0.75_60.75,-0.75,60.75,265.421496335575,265.421496335575
Lines_Longlines,-0.75_61.25,-0.75,61.25,250.588874210863,250.588874210863
Lines_Longlines,-0.75_61.75,-0.75,61.75,276.473960025761,276.473960025761
Lines_Longlines,-0.75_62.25,-0.75,62.25,241.707222264663,241.707222264663
Lines_Longlines,-0.75_62.75,-0.75,62.75,220.818809146233,220.818809146233
Lines_Longlines,-0.75_63.25,-0.75,63.25,139.095045561328,139.095045561328
Lines_Longlines,-0.75_63.75,-0.75,63.75,159.690839026161,159.690839026161
Lines_Longlines,-0.75_64.25,-0.75,64.25,210.734527905047,210.734527905047
Lines_Longlines,-0.75_64.75,-0.75,64.75,205.272949082044,205.272949082044
Lines_Longlines,-0.75_65.25,-0.75,65.25,233.118953405176,233.118953405176
Lines_Longlines,-0.75_65.75,-0.75,65.75,263.450216333952,263.450216333952
Lines_Longlines,-0.75_66.25,-0.75,66.25,253.546314587178,253.546314587178
Lines_Longlines,-0.75_66.75,-0.75,66.75,300.692830688949,300.692830688949
Lines_Longlines,-0.75_67.25,-0.75,67.25,414.734285950413,414.734285950413
