Gear,mycellid,Lat,Lon,avg_eff_gear_yr,eff_smth
Seine_Purse_Seine,-0.75_46.75,-0.75,46.75,311.333906222273,311.333906222273
Seine_Purse_Seine,-0.75_47.25,-0.75,47.25,676.049813365885,676.049813365885
Seine_Purse_Seine,-0.75_47.75,-0.75,47.75,1069.74339836044,1069.74339836044
Seine_Purse_Seine,-0.75_48.25,-0.75,48.25,749.514080500768,749.514080500768
Seine_Purse_Seine,-0.75_48.75,-0.75,48.75,1305.55538492417,1305.55538492417
Seine_Purse_Seine,-0.75_49.25,-0.75,49.25,1302.62380537936,1302.62380537936
Seine_Purse_Seine,-0.75_49.75,-0.75,49.75,670.957956433323,670.957956433323
Seine_Purse_Seine,-0.75_50.25,-0.75,50.25,592.397154502499,592.397154502499
Seine_Purse_Seine,-0.75_50.75,-0.75,50.75,590.583041685775,590.583041685775
Seine_Purse_Seine,-0.75_51.25,-0.75,51.25,498.099817372505,498.099817372505
Seine_Purse_Seine,-0.75_51.75,-0.75,51.75,591.510995693021,591.510995693021
Seine_Purse_Seine,-0.75_52.25,-0.75,52.25,808.356121065916,808.356121065916
Seine_Purse_Seine,-0.75_52.75,-0.75,52.75,589.561315184564,589.561315184564
Seine_Purse_Seine,-0.75_53.25,-0.75,53.25,642.892740128144,642.892740128144
Seine_Purse_Seine,-0.75_53.75,-0.75,53.75,644.10050459753,644.10050459753
Seine_Purse_Seine,-0.75_54.25,-0.75,54.25,801.533920414816,801.533920414816
Seine_Purse_Seine,-0.75_54.75,-0.75,54.75,494.834886347171,494.834886347171
Seine_Purse_Seine,-0.75_55.25,-0.75,55.25,376.863631068651,376.863631068651
Seine_Purse_Seine,-0.75_55.75,-0.75,55.75,771.789847814123,771.789847814123
Seine_Purse_Seine,-0.75_56.25,-0.75,56.25,1517.22644498642,1517.22644498642
Seine_Purse_Seine,-0.75_56.75,-0.75,56.75,1545.05581436601,1545.05581436601
Seine_Purse_Seine,-0.75_57.25,-0.75,57.25,1870.0277523354,1870.0277523354
Seine_Purse_Seine,-0.75_57.75,-0.75,57.75,668.939552368988,668.939552368988
Seine_Purse_Seine,-0.75_58.25,-0.75,58.25,464.60479092864,464.60479092864
Seine_Purse_Seine,-0.75_58.75,-0.75,58.75,865.507565608752,865.507565608752
Seine_Purse_Seine,-0.75_59.25,-0.75,59.25,494.760115347544,494.760115347544
Seine_Purse_Seine,-0.75_59.75,-0.75,59.75,365.483607689204,365.483607689204
Seine_Purse_Seine,-0.75_60.25,-0.75,60.25,300.051126802473,300.051126802473
Seine_Purse_Seine,-0.75_60.75,-0.75,60.75,504.11400439253,504.11400439253
Seine_Purse_Seine,-0.75_61.25,-0.75,61.25,427.041217914575,427.041217914575
Seine_Purse_Seine,-0.75_61.75,-0.75,61.75,419.591279585377,419.591279585377
Seine_Purse_Seine,-0.75_62.25,-0.75,62.25,362.921021026606,362.921021026606
Seine_Purse_Seine,-0.75_62.75,-0.75,62.75,210.668548568165,210.668548568165
Seine_Purse_Seine,-0.75_63.25,-0.75,63.25,211.455932178558,211.455932178558
Seine_Purse_Seine,-0.75_63.75,-0.75,63.75,211.54874636101,211.54874636101
Seine_Purse_Seine,-0.75_64.25,-0.75,64.25,230.863782732408,230.863782732408
Seine_Purse_Seine,-0.75_64.75,-0.75,64.75,210.51766354704,210.51766354704
Seine_Purse_Seine,-0.75_65.25,-0.75,65.25,228.540510389088,228.540510389088
Seine_Purse_Seine,-0.75_65.75,-0.75,65.75,365.180834854104,365.180834854104
Seine_Purse_Seine,-0.75_66.25,-0.75,66.25,342.661083606895,342.661083606895
Seine_Purse_Seine,-0.75_66.75,-0.75,66.75,430.202345862769,430.202345862769
Seine_Purse_Seine,-0.75_67.25,-0.75,67.25,470.99215602512,470.99215602512
Seine_Purse_Seine,-0.75_67.75,-0.75,67.75,931.305528926021,931.305528926021
Seine_Purse_Seine,-0.75_68.25,-0.75,68.25,2018.59460829972,2018.59460829972
Seine_Purse_Seine,-0.75_68.75,-0.75,68.75,1121.97109023545,1121.97109023545
Seine_Purse_Seine,-0.75_69.25,-0.75,69.25,475.478948546339,475.478948546339
Seine_Purse_Seine,-0.75_69.75,-0.75,69.75,616.260552093407,616.260552093407
Seine_Purse_Seine,-0.75_70.25,-0.75,70.25,173.961758728074,173.961758728074
Seine_Purse_Seine,-0.75_76.25,-0.75,76.25,76.5200976980293,76.5200976980293
Seine_Purse_Seine,-0.75_76.75,-0.75,76.75,353.524193891132,353.524193891132
Seine_Purse_Seine,-0.75_77.25,-0.75,77.25,472.970331489064,472.970331489064
Seine_Purse_Seine,-0.75_77.75,-0.75,77.75,452.868056204779,452.868056204779
Seine_Purse_Seine,-0.75_78.25,-0.75,78.25,501.497730997583,501.497730997583
Seine_Purse_Seine,-0.75_78.75,-0.75,78.75,894.58891149846,894.58891149846
Seine_Purse_Seine,-0.75_79.25,-0.75,79.25,549.842091290826,549.842091290826
Seine_Purse_Seine,-0.75_79.75,-0.75,79.75,308.784285632199,308.784285632199
Seine_Purse_Seine,-0.75_80.25,-0.75,80.25,293.014135665333,293.014135665333
Seine_Purse_Seine,-0.75_80.75,-0.75,80.75,342.821191064215,342.821191064215
Seine_Purse_Seine,-0.75_81.25,-0.75,81.25,357.108406155942,357.108406155942
Seine_Purse_Seine,-0.75_81.75,-0.75,81.75,433.962533649979,433.962533649979
Seine_Purse_Seine,-0.75_82.25,-0.75,82.25,331.652822574366,331.652822574366
Seine_Purse_Seine,-0.75_82.75,-0.75,82.75,412.710969133416,412.710969133416
Seine_Purse_Seine,-0.75_83.25,-0.75,83.25,483.916387824871,483.916387824871
Seine_Purse_Seine,-0.75_83.75,-0.75,83.75,360.233453136959,360.233453136959
Seine_Purse_Seine,-0.75_84.25,-0.75,84.25,245.545282246759,245.545282246759
Seine_Purse_Seine,-0.75_84.75,-0.75,84.75,231.559611288178,231.559611288178
Seine_Purse_Seine,-0.75_85.25,-0.75,85.25,287.198052916578,287.198052916578
Seine_Purse_Seine,-0.75_85.75,-0.75,85.75,232.62776237867,232.62776237867
Seine_Purse_Seine,-0.75_86.25,-0.75,86.25,221.407111010084,221.407111010084
Seine_Purse_Seine,-0.75_86.75,-0.75,86.75,252.149648480374,252.149648480374
Seine_Purse_Seine,-0.75_87.25,-0.75,87.25,330.188758152037,330.188758152037
Seine_Purse_Seine,-0.75_87.75,-0.75,87.75,255.70972746467,255.70972746467
Seine_Purse_Seine,-0.75_88.25,-0.75,88.25,278.67438174589,278.67438174589
Seine_Purse_Seine,-0.75_88.75,-0.75,88.75,338.916951001402,338.916951001402
Seine_Purse_Seine,-0.75_89.25,-0.75,89.25,506.845428597357,506.845428597357
Seine_Purse_Seine,-0.75_89.75,-0.75,89.75,423.51101171072,423.51101171072
Seine_Purse_Seine,-0.75_90.25,-0.75,90.25,542.431042491928,542.431042491928
Seine_Purse_Seine,-0.75_90.75,-0.75,90.75,431.109520907022,431.109520907022
