species_id,gear,encount_prob,E_scaled,sumA,A_scaled,sel0123,pcm,geomean
ITS-Mam-180469,PST,0.56,2.165090719575944,216.86860480000001,1.3695714108933643,1,1,1.3122458109483182
ITS-Mam-180469,LLT,0.8,2.5999800101060018,455.2585966,1.7758203414504523,2,1,1.743210197272103
ITS-Mam-180459,GND,0.04,1.0793640278237828,653.9550469,2.1144260850488905,2,2,1.7382214698076155
ITS-Mam-180459,PST,0.56,2.165090719575944,250.218809,1.426404689370412,1,1,1.3256525577612222
ITS-Mam-180459,LLT,0.8,2.5999800101060018,464.1297551,1.7909380006534064,2,1,1.74690842371753
Fis-23054,GND,0.04,1.0793640278237828,733.1213413,2.249336205198354,3,3,2.162052352278911
Fis-23054,PST,0.56,2.165090719575944,322.9888238,1.5504146801670284,3,3,2.3444534816373044
Fis-23054,LLT,0.8,2.5999800101060018,555.6992053,1.9469847832157376,3,3,2.5980276505158235
Fis-25899,GND,0.03389830508474576,1.0671565957972389,529.0343388,1.9015442283615696,3,3,2.067256058571339
Fis-25899,PST,0.4745762711864407,1.987308887247893,315.3828696,1.5374531009652954,3,2,2.0692102710162863
Fis-25899,LLT,0.6779661016949152,2.355900016272376,544.030157,1.9270991397090629,3,2,2.2845624841691246
ITS-Mam-180440,GND,0.03333333333333333,1.0660262780170031,190.8276226,1.3251940396391149,3,3,1.888306436248058
ITS-Mam-180440,PST,0.4666666666666667,1.9708476064767773,102.5536753,1.1747632417020777,3,1,1.623421009151232
ITS-Mam-180440,LLT,0.6666666666666666,2.3333000168433364,181.371207,1.3090790228324265,1,1,1.3220080873706939
Fis-23899,GND,0.03076923076923077,1.0608963742451651,1159.926183,2.976669635549234,3,3,2.308934047997698
Fis-23899,PST,0.4307692307692308,1.8961387168232515,477.1961433,1.813204901173908,3,2,2.131164926567175
Fis-23899,LLT,0.6153846153846154,2.2307307886653884,847.9818137,2.445074053601526,3,2,2.3917875847764867
ITS-Mam-180434,GND,0.02857142857142857,1.056499313869304,710.1498631,2.210189685742559,3,3,2.141091952594258
ITS-Mam-180434,PST,0.4,1.8321025256916583,338.5047505,1.5768559270536235,3,1,1.715796433483841
ITS-Mam-180434,LLT,0.5714285714285714,2.142814307370004,575.2103613,1.9802344435688553,1,1,1.435242502715116
Fis-23898,GND,0.0273972602739726,1.054150199421926,863.8284599,2.4720788914433243,3,3,2.200654340517925
Fis-23898,PST,0.3835616438356164,1.797891409881629,381.5952761,1.6502880363882688,3,2,2.054085963067028
Fis-23898,LLT,0.547945205479452,2.095845228321785,653.2527005,2.113229191371743,3,2,2.2704621427498672
ITS-Mam-180466,GND,0.025,1.0493540907585293,626.4895664,2.0676211751778313,2,2,1.7163792503608717
ITS-Mam-180466,PST,0.35,1.7280437151028192,281.2308787,1.4792534690312489,1,1,1.2644432149012494
ITS-Mam-180466,LLT,0.5,1.9999500252650049,523.5535867,1.8922042822402516,2,1,1.6586482318302997
Fis-23129,GND,0.02259073842302878,1.04453397153862,533.5274974,1.9092011809974203,3,3,2.0582787637194624
Fis-23129,PST,0.34793938852136597,1.7237552195117718,147.4306319,1.2512396721417502,3,3,2.099010699512802
Fis-23129,LLT,0.4981257822277847,1.9962014023935013,375.6833172,1.6402132553016644,3,3,2.3298973948437296
ITS-Mam-180524,GND,0.02,1.0393507784034448,142.9762213,1.2436487513616936,2,2,1.5079257892650484
ITS-Mam-180524,PST,0.28,1.5823613802784444,88.05700843,1.1500589520290416,1,1,1.1614658485054699
ITS-Mam-612597,GND,0.02,1.0393507784034448,946.1733285,2.6124057338288855,2,2,1.8153722451358496
ITS-Mam-612597,PST,0.28,1.5823613802784444,409.1593661,1.6972609902431182,1,1,1.2801580044953338
ITS-Mam-180525,GND,0.02,1.0393507784034448,674.6702927,2.149727677993017,2,2,1.729025491580995
ITS-Mam-180525,PST,0.28,1.5823613802784444,305.7594148,1.5210534266700573,1,1,1.2455539287002295
ITS-Mam-180457,GND,0.02,1.0393507784034448,724.3651654,2.234414491965824,2,2,1.745807959122726
ITS-Mam-180457,PST,0.28,1.5823613802784444,258.0274466,1.439711668619647,1,1,1.2285569691067697
ITS-Mam-180457,LLT,0.4,1.799940030318006,529.618858,1.902540328483463,2,1,1.6177279003719904
ITS-Mam-180495,GND,0.02,1.0393507784034448,44.44329244,1.075735255196069,2,2,1.454225931883811
ITS-Mam-180495,LLT,0.4,1.799940030318006,78.86443271,1.13439355421969,1,1,1.1953785167329969
ITS-Mam-180516,GND,0.02,1.0393507784034448,69.39421305,1.1182550134195235,2,2,1.4683877329800248
ITS-Mam-180516,LLT,0.4,1.799940030318006,116.4055527,1.198368722525614,1,1,1.2118869957668181
ITS-Mam-180500,GND,0.02,1.0393507784034448,6.672253998,1.0113682746142392,2,2,1.4319665256144773
ITS-Mam-180500,LLT,0.4,1.799940030318006,14.65455388,1.0249711979834764,1,1,1.1654467211282251
Fis-23273,GND,0.02,1.0393507784034448,994.9827528,2.6955836234427153,3,3,2.2408581511685743
Fis-23273,PST,0.28,1.5823613802784444,383.6261849,1.6537489808760355,2,3,1.9905891323012397
Fis-23273,LLT,0.4,1.799940030318006,678.6571516,2.156521827160847,3,3,2.431160331243937
Fis-23047,GND,0.02,1.0393507784034448,567.8951663,1.9677683575426443,3,3,2.0713078778485414
Fis-23047,PST,0.28,1.5823613802784444,162.0180078,1.2760985423244424,2,3,1.8656719602841874
Fis-23047,LLT,0.4,1.799940030318006,379.1857746,1.6461819185090758,3,3,2.272451343248549
