species_id,sumA,ncells_overlap,GEAR,A_scaled
Fis_161202,148.25263699131028,449,GND,1.2526404805204314
Fis_161209,33.31487027660478,641,GND,1.0567709120773172
Fis_161213,15.716736718808534,382,GND,1.0267813018395813
Fis_161218,35.59986224910244,375,GND,1.0606648488079657
Fis_161221,128.73755246190922,477,GND,1.2193841254148676
Fis_161225,2.1880441804532893,129,GND,1.0037265719206974
Fis_161228,113.89815933976206,481,GND,1.1940957836463408
Fis_161233,40.180517828659504,246,GND,1.0684709081842663
Fis_161235,5.2694601226830855,192,GND,1.008977723287649
Fis_161400,183.5387868795102,6630,GND,1.3127728734507396
Fis_161402,12.333118728070986,304,GND,1.0210151571287034
Fis_161412,142.31948675272724,460,GND,1.2425295865126855
Fis_161438,7.523640606385015,160,GND,1.0128191530557382
Fis_161440,27.871162541046033,4454,GND,1.047494094584065
Fis_161448,110.06067093515026,2233,GND,1.1875561820932459
Fis_161453,18.555387872117308,655,GND,1.031618749027321
Fis_161456,169.30931980660534,514,GND,1.288523928526801
Fis_161457,114.32850878254976,442,GND,1.194829157558571
Fis_161466,8.065913412719965,339,GND,1.0137432595839162
Fis_161470,4.417169360589469,228,GND,1.0075253040478205
Fis_161473,35.49825919659634,260,GND,1.0604917034040162
Fis_161480,362.919888048547,1019,GND,1.6184626382435554
Fis_161488,146.53688964087632,549,GND,1.2497166139560054
Fis_161491,140.17572287481744,500,GND,1.2388763216406404
Fis_161493,66.82888411299791,181,GND,1.113883344435819
Fis_161494,458.3947700198987,1271,GND,1.7811648071077195
Fis_161495,72.22426219691988,283,GND,1.1230778016372396
Fis_161638,5.184888431394938,245,GND,1.0088336016368755
Fis_163295,467.63778390906964,1142,GND,1.796916158411416
Fis_164471,5.1924518120940775,140,GND,1.0088464906650503
Fis_164699,7.1088884910568595,52,GND,1.0121123591083507
Fis_165849,76.26138957733474,514,GND,1.1299576151254773
Fis_166044,59.55219287406112,3753,GND,1.1014828740473337
Fis_166734,426.165991573931,1142,GND,1.7262425904499916
Fis_166946,50.10919806943275,136,GND,1.0853907280968722
Fis_169677,194.54803179454393,440,GND,1.331534122359853
Fis_170052,10.787746018216126,298,GND,1.0183816320967234
Fis_170784,11.679261451179627,102,GND,1.0199008955042714
Fis_20033,800.5628171753109,17572,GND,2.3642656419943866
Fis_21798,492.46100172554,1613,GND,1.8392182937326114
Fis_21801,615.6841383152569,1258,GND,2.0492072579861405
Fis_22747,33.36144583976693,3424,GND,1.0568502831641002
Fis_22768,61.07228848195308,9679,GND,1.1040733234637479
Fis_22814,5.500979935517535,60,GND,1.0093722645000118
Fis_23008,2.754130575573072,30,GND,1.0046912600391715
Fis_23028,5.444151280506048,182,GND,1.0092754207518648
Fis_23029,7.933424522685527,240,GND,1.0135174805170672
Fis_23044,564.5848130984034,1660,GND,1.9621270661219388
Fis_23045,719.0429659214319,1773,GND,2.225344741223124
Fis_23046,370.74408716719154,807,GND,1.6317961364364155
Fis_23047,567.8951663365406,1909,GND,1.967768357741582
Fis_23048,480.387736006267,1210,GND,1.8186438088289432
Fis_23050,86.1133837742965,813,GND,1.1467467516018526
Fis_23051,570.2857297904447,1390,GND,1.971842202618126
Fis_23052,83.52802830003202,283,GND,1.1423409546606853
Fis_23053,267.95769647807174,324,GND,1.456634163469984
Fis_23054,733.1213412707766,13216,GND,2.2493362053247448
Fis_23055,22.960178579203784,140,GND,1.0391251107702004
Fis_23056,216.0973848178728,606,GND,1.368257147328527
Fis_23057,404.10970133226147,608,GND,1.6886556755953188
Fis_23059,368.8234527527238,1472,GND,1.6285231144815642
Fis_23060,556.334216486166,1660,GND,1.948066928675137
