species_id,sumA,ncells_overlap,GEAR,A_scaled,ncells_spp,prop_exposure,avail123
Fis_159586,16.154297898538147,2833,GND,1.027526965531254,2861,0.9902132121635792,3
Fis_160267,140.19602130724525,515,GND,1.2389109129269804,546,0.9432234432234432,3
Fis_160378,223.2155095950584,893,GND,1.3803873989253956,913,0.9780941949616648,3
Fis_160439,402.1858900641139,4166,GND,1.685377239850231,4266,0.976558837318331,3
Fis_160444,404.2019041016538,7727,GND,1.6888128016398414,7880,0.9805837563451777,3
Fis_160464,11.275699979436467,340,GND,1.0192131719337691,353,0.9631728045325779,3
Fis_160691,92.0904302932322,223,GND,1.1569324508345014,239,0.9330543933054394,3
Fis_160851,10.5633416280034,289,GND,1.0179992165311174,316,0.9145569620253164,3
Fis_160854,11.409176980843768,284,GND,1.0194406348766294,307,0.9250814332247557,3
Fis_160862,0.8052863581106067,24,GND,1.0013701647477975,24,1,3
Fis_160879,33.033142044407214,290,GND,1.0562908088976917,298,0.9731543624161074,3
Fis_160881,0.17571364878676832,9,GND,1.0002972873254887,9,1,3
Fis_160886,2.8078548996709287,125,GND,1.0047828135857273,138,0.9057971014492754,3
Fis_160887,0.94032313254138,72,GND,1.0016002857557806,82,0.8780487804878049,3
Fis_160925,0.03823675055718922,10,GND,1.0000630080150688,10,1,3
Fis_160938,1.3649514814756003,287,GND,1.0023239101468906,369,0.7777777777777778,3
Fis_161155,119.5920252726064,556,GND,1.2037989046910311,563,0.9875666074600356,3
Fis_161159,50.82824576093117,242,GND,1.0866160830437228,248,0.9758064516129032,3
Fis_161202,148.25263699131028,449,GND,1.2526404805204314,459,0.9782135076252724,3
Fis_161209,33.31487027660478,641,GND,1.0567709120773172,704,0.9105113636363636,3
Fis_161213,15.716736718808534,382,GND,1.0267813018395813,403,0.9478908188585607,3
Fis_161218,35.59986224910244,375,GND,1.0606648488079655,387,0.9689922480620154,3
Fis_161221,128.73755246190922,477,GND,1.2193841254148676,484,0.9855371900826446,3
Fis_161225,2.1880441804532893,129,GND,1.0037265719206974,131,0.9847328244274809,3
Fis_161228,113.89815933976206,481,GND,1.1940957836463408,492,0.9776422764227642,3
Fis_161233,40.180517828659504,246,GND,1.0684709081842665,249,0.9879518072289156,3
Fis_161235,5.2694601226830855,192,GND,1.008977723287649,199,0.964824120603015,3
Fis_161400,183.5387868795102,6630,GND,1.3127728734507396,6770,0.9793205317577548,3
Fis_161402,12.333118728070986,304,GND,1.0210151571287034,312,0.9743589743589743,3
Fis_161412,142.31948675272724,460,GND,1.2425295865126855,472,0.9745762711864406,3
Fis_161438,7.523640606385015,160,GND,1.0128191530557382,163,0.9815950920245399,3
Fis_161440,27.871162541046033,4454,GND,1.047494094584065,4473,0.9957522915269394,3
Fis_161448,110.06067093515026,2233,GND,1.187556182093246,2323,0.9612569952647438,3
Fis_161453,18.555387872117308,655,GND,1.031618749027321,707,0.9264497878359265,3
Fis_161456,169.30931980660534,514,GND,1.288523928526801,586,0.8771331058020477,3
Fis_161457,114.32850878254976,442,GND,1.194829157558571,474,0.9324894514767933,3
